model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
naive_bayes,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,34.652,0.002,0.799,0.39,0.772,0.631,,0.0,original,10,5,,,,,
logreg,random,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,1.088,0.007,0.779,0.499,0.97,0.944,,0.0,original,10,5,,,,,
knn,random,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,1.239,0.001,0.736,0.512,0.983,0.969,,1e-06,original,10,5,,,,,
xgb,random,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,1.312,0.023,0.814,0.458,0.903,0.824,,0.0,original,10,5,,,,,
rf,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,11.725,0.319,0.875,0.484,0.945,0.898,,4e-06,original,10,5,,,,,
mlp,random,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,1.462,0.017,0.788,0.434,0.857,0.752,,0.0,original,10,5,,,,,
naive_bayes,k-means,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,0.517,0.002,0.78,0.362,0.716,0.56,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
logreg,k-means,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,0.717,0.003,0.702,0.439,0.87,0.772,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
knn,k-means,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,0.739,0.001,0.685,0.447,0.885,0.795,,1e-06,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
xgb,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,1.127,0.033,0.615,0.411,0.816,0.691,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
rf,k-means,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,11.036,0.245,0.612,0.356,0.707,0.549,,3e-06,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
mlp,k-means,0.55,0.473,0.473,0.55,0.245,0.28,0.28,0.245,1.479,0.028,0.75,0.414,0.819,0.696,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
naive_bayes,k-means,0.55,0.52,0.52,0.55,0.245,0.261,0.261,0.245,0.542,0.002,0.729,0.336,0.666,0.501,,1e-06,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
logreg,k-means,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,0.823,0.013,0.896,0.511,0.975,0.954,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
knn,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,0.759,0.001,0.79,0.528,0.988,0.978,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
xgb,k-means,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,1.076,0.022,0.58,0.433,0.86,0.757,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
rf,k-means,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,11.54,0.305,0.812,0.495,0.964,0.932,,1.1e-05,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
mlp,k-means,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,1.603,0.024,0.87,0.49,0.955,0.916,,1e-06,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
naive_bayes,k-center,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.502,0.001,0.78,0.361,0.716,0.56,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
logreg,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.849,0.006,0.5,0.001,0.0,0.001,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
knn,k-center,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,0.68,0.001,0.5,0.002,0.0,0.002,,1e-06,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
xgb,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,1.104,0.025,0.504,0.01,0.017,0.01,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
rf,k-center,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,10.296,0.265,0.504,0.009,0.016,0.009,,3e-06,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
mlp,k-center,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,1.368,0.02,0.465,0.129,0.255,0.147,,1e-06,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
naive_bayes,k-center,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,0.53,0.002,0.69,0.315,0.624,0.455,,1e-06,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
logreg,k-center,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.886,0.009,0.559,0.108,0.212,0.12,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
knn,k-center,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,0.661,0.001,0.5,0.001,0.0,0.001,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
xgb,k-center,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,1.091,0.04,0.852,0.445,0.878,0.784,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
rf,k-center,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,8.973,0.173,0.753,0.37,0.734,0.582,,6e-06,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
mlp,k-center,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,1.498,0.033,0.671,0.257,0.509,0.343,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
naive_bayes,ag,0.65,0.627,0.627,0.65,0.2,0.213,0.213,0.2,0.441,0.001,0.78,0.362,0.716,0.56,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
logreg,ag,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,0.847,0.007,0.719,0.457,0.903,0.826,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
knn,ag,0.65,0.58,0.58,0.65,0.2,0.256,0.256,0.2,0.595,0.001,0.646,0.448,0.888,0.801,,1e-06,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
xgb,ag,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,1.111,0.039,0.5,0.412,0.821,0.698,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
rf,ag,0.65,0.64,0.64,0.65,0.122,0.114,0.114,0.122,10.223,0.361,0.521,0.408,0.811,0.684,,3e-06,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
mlp,ag,0.55,0.533,0.533,0.55,0.187,0.197,0.197,0.187,1.461,0.017,0.723,0.403,0.8,0.668,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
naive_bayes,ag,0.7,0.687,0.687,0.7,0.292,0.307,0.307,0.292,34.833,0.002,0.762,0.43,0.851,0.742,,1e-06,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
logreg,ag,0.7,0.653,0.653,0.7,0.292,0.333,0.333,0.292,1.158,0.011,0.897,0.507,0.972,0.948,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
knn,ag,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,1.225,0.001,0.852,0.491,0.956,0.918,,1e-06,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,1.357,0.027,0.767,0.472,0.93,0.872,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
rf,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,12.004,0.254,0.822,0.496,0.964,0.933,,7e-06,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
mlp,ag,0.7,0.653,0.653,0.7,0.292,0.333,0.333,0.292,1.598,0.018,0.832,0.43,0.849,0.739,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
naive_bayes,lc,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,0.565,0.002,0.461,0.475,0.948,0.902,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.01322317123413086,12.545977354049683
logreg,lc,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,0.66,0.005,0.508,0.067,0.131,0.072,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.01322317123413086,12.545977354049683
knn,lc,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,0.67,0.001,0.51,0.024,0.045,0.024,,1e-06,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.01322317123413086,12.545977354049683
xgb,lc,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,1.162,0.032,0.557,0.14,0.276,0.162,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.01322317123413086,12.545977354049683
rf,lc,0.55,0.48,0.48,0.55,0.1,0.147,0.147,0.1,10.064,0.266,0.55,0.184,0.365,0.224,,2e-06,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.01322317123413086,12.545977354049683
mlp,lc,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,1.483,0.032,0.439,0.116,0.229,0.131,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.01322317123413086,12.545977354049683
naive_bayes,lc,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,0.445,0.002,0.44,0.06,0.118,0.064,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.01322317123413086,12.545977354049683
logreg,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,0.805,0.007,0.281,0.005,0.009,0.005,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.01322317123413086,12.545977354049683
knn,lc,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,0.645,0.001,0.358,0.008,0.015,0.008,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.01322317123413086,12.545977354049683
xgb,lc,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,1.174,0.038,0.487,0.11,0.217,0.123,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.01322317123413086,12.545977354049683
rf,lc,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,10.707,0.25,0.468,0.095,0.187,0.104,,4e-06,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.01322317123413086,12.545977354049683
mlp,lc,0.9,0.9,0.9,0.9,0.2,0.2,0.2,0.2,1.654,0.038,0.228,0.076,0.152,0.083,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.01322317123413086,12.545977354049683
naive_bayes,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.518,0.001,0.813,0.425,0.84,0.725,,0.0,original,10,6,,,,,
logreg,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,0.717,0.004,0.795,0.446,0.881,0.79,,0.0,original,10,6,,,,,
knn,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.764,0.001,0.763,0.472,0.929,0.87,,1e-06,original,10,6,,,,,
xgb,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,1.141,0.057,0.696,0.401,0.796,0.663,,0.0,original,10,6,,,,,
rf,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,9.118,0.142,0.765,0.449,0.887,0.799,,1e-06,original,10,6,,,,,
mlp,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,1.606,0.045,0.784,0.45,0.889,0.802,,1e-06,original,10,6,,,,,
naive_bayes,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,0.524,0.001,0.78,0.362,0.717,0.561,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0014576911926269531,17.218506813049316
logreg,k-means,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,0.701,0.005,0.652,0.367,0.728,0.574,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0014576911926269531,17.218506813049316
knn,k-means,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,0.72,0.001,0.779,0.384,0.761,0.617,,1e-06,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0014576911926269531,17.218506813049316
xgb,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,1.069,0.013,0.69,0.364,0.722,0.566,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0014576911926269531,17.218506813049316
rf,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,9.588,0.128,0.596,0.198,0.391,0.245,,1e-06,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0014576911926269531,17.218506813049316
mlp,k-means,0.75,0.747,0.747,0.75,0.224,0.224,0.224,0.224,1.546,0.018,0.73,0.408,0.808,0.679,,1e-06,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0014576911926269531,17.218506813049316
naive_bayes,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,0.517,0.001,0.599,0.197,0.389,0.243,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0014576911926269531,17.218506813049316
logreg,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.776,0.005,0.848,0.508,0.975,0.954,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0014576911926269531,17.218506813049316
knn,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,0.629,0.001,0.81,0.521,0.985,0.972,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0014576911926269531,17.218506813049316
xgb,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,1.094,0.032,0.703,0.431,0.853,0.746,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0014576911926269531,17.218506813049316
rf,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,11.905,0.324,0.81,0.483,0.947,0.901,,8e-06,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0014576911926269531,17.218506813049316
mlp,k-means,0.6,0.553,0.553,0.6,0.255,0.286,0.286,0.255,1.64,0.02,0.877,0.495,0.96,0.925,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0014576911926269531,17.218506813049316
naive_bayes,k-center,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.538,0.001,0.609,0.182,0.36,0.221,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0010707378387451172,4.841264009475708
logreg,k-center,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,0.867,0.014,0.635,0.218,0.431,0.276,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0010707378387451172,4.841264009475708
knn,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.719,0.001,0.5,0.001,0.0,0.001,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0010707378387451172,4.841264009475708
xgb,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,1.064,0.018,0.502,0.004,0.006,0.004,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0010707378387451172,4.841264009475708
rf,k-center,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,11.72,0.396,0.5,0.001,0.0,0.001,,4e-06,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0010707378387451172,4.841264009475708
mlp,k-center,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,1.421,0.01,0.553,0.231,0.459,0.299,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0010707378387451172,4.841264009475708
naive_bayes,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.534,0.001,0.49,0.028,0.053,0.028,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0010707378387451172,4.841264009475708
logreg,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.799,0.005,0.5,0.001,0.0,0.001,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0010707378387451172,4.841264009475708
knn,k-center,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,0.627,0.001,0.5,0.001,0.0,0.001,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0010707378387451172,4.841264009475708
xgb,k-center,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,1.086,0.025,0.494,0.136,0.269,0.156,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0010707378387451172,4.841264009475708
rf,k-center,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,11.322,0.378,0.499,0.003,0.003,0.003,,9e-06,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0010707378387451172,4.841264009475708
mlp,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,1.724,0.039,0.596,0.163,0.323,0.194,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0010707378387451172,4.841264009475708
naive_bayes,ag,0.7,0.633,0.633,0.7,0.245,0.306,0.306,0.245,0.46,0.001,0.78,0.362,0.716,0.56,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.001149892807006836,1093.7845251560211
logreg,ag,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,0.817,0.007,0.678,0.436,0.865,0.764,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.001149892807006836,1093.7845251560211
knn,ag,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,0.711,0.001,0.671,0.436,0.865,0.764,,1e-06,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.001149892807006836,1093.7845251560211
xgb,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,1.102,0.017,0.539,0.342,0.68,0.516,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.001149892807006836,1093.7845251560211
rf,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,12.885,0.422,0.611,0.334,0.664,0.498,,4e-06,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.001149892807006836,1093.7845251560211
mlp,ag,0.6,0.553,0.553,0.6,0.255,0.286,0.286,0.255,1.641,0.029,0.755,0.419,0.83,0.711,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.001149892807006836,1093.7845251560211
naive_bayes,ag,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,34.734,0.002,0.757,0.43,0.851,0.743,,1e-06,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.001149892807006836,1093.7845251560211
logreg,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,1.203,0.009,0.897,0.499,0.965,0.935,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.001149892807006836,1093.7845251560211
knn,ag,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,1.282,0.001,0.858,0.488,0.952,0.911,,1e-06,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.001149892807006836,1093.7845251560211
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,1.343,0.025,0.622,0.361,0.718,0.561,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.001149892807006836,1093.7845251560211
rf,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,11.373,0.415,0.753,0.473,0.932,0.875,,1e-05,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.001149892807006836,1093.7845251560211
mlp,ag,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,1.675,0.027,0.885,0.491,0.956,0.918,,1e-06,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.001149892807006836,1093.7845251560211
naive_bayes,lc,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.516,0.001,0.5,0.003,0.003,0.003,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0013089179992675781,13.665171146392822
logreg,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.652,0.007,0.458,0.056,0.109,0.059,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0013089179992675781,13.665171146392822
knn,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.709,0.001,0.492,0.024,0.046,0.025,,1e-06,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0013089179992675781,13.665171146392822
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,1.088,0.037,0.481,0.088,0.174,0.096,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0013089179992675781,13.665171146392822
rf,lc,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,11.257,0.142,0.488,0.096,0.19,0.106,,2e-06,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0013089179992675781,13.665171146392822
mlp,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,1.685,0.027,0.483,0.089,0.174,0.097,,0.0,original,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0013089179992675781,13.665171146392822
naive_bayes,lc,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.52,0.001,0.601,0.418,0.831,0.713,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0013089179992675781,13.665171146392822
logreg,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,0.809,0.007,0.447,0.005,0.007,0.005,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0013089179992675781,13.665171146392822
knn,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.521,0.0,0.464,0.004,0.006,0.004,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0013089179992675781,13.665171146392822
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.048,0.022,0.436,0.026,0.049,0.026,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0013089179992675781,13.665171146392822
rf,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,11.857,0.311,0.453,0.054,0.105,0.056,,4e-06,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0013089179992675781,13.665171146392822
mlp,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,1.74,0.077,0.411,0.061,0.119,0.064,,0.0,latent,10,6,1817.6664872169495,0,8.123654726217413e-07,0.0013089179992675781,13.665171146392822
naive_bayes,random,0.65,0.627,0.627,0.65,0.2,0.213,0.213,0.2,0.502,0.001,0.795,0.389,0.77,0.628,,0.0,original,10,7,,,,,
logreg,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,0.715,0.003,0.797,0.491,0.959,0.924,,0.0,original,10,7,,,,,
knn,random,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,0.735,0.001,0.711,0.498,0.972,0.948,,1e-06,original,10,7,,,,,
xgb,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,1.095,0.019,0.755,0.369,0.732,0.579,,0.0,original,10,7,,,,,
rf,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,12.567,0.421,0.913,0.476,0.932,0.875,,8e-06,original,10,7,,,,,
mlp,random,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,1.335,0.018,0.829,0.484,0.947,0.902,,0.0,original,10,7,,,,,
naive_bayes,k-means,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,0.481,0.001,0.78,0.362,0.716,0.56,,0.0,original,10,7,2479.7548019886017,0,9.255008810817711e-07,0.0012247562408447266,19.04148769378662
logreg,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,0.633,0.004,0.727,0.434,0.86,0.757,,0.0,original,10,7,2479.7548019886017,0,9.255008810817711e-07,0.0012247562408447266,19.04148769378662
knn,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,0.733,0.001,0.706,0.476,0.939,0.887,,1e-06,original,10,7,2479.7548019886017,0,9.255008810817711e-07,0.0012247562408447266,19.04148769378662
xgb,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,1.144,0.02,0.538,0.408,0.812,0.685,,0.0,original,10,7,2479.7548019886017,0,9.255008810817711e-07,0.0012247562408447266,19.04148769378662
rf,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,11.264,0.298,0.661,0.347,0.688,0.526,,3e-06,original,10,7,2479.7548019886017,0,9.255008810817711e-07,0.0012247562408447266,19.04148769378662
mlp,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,1.562,0.046,0.787,0.442,0.875,0.779,,1e-06,original,10,7,2479.7548019886017,0,9.255008810817711e-07,0.0012247562408447266,19.04148769378662
naive_bayes,k-means,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,0.536,0.001,0.621,0.209,0.413,0.262,,0.0,latent,10,7,2479.7548019886017,0,9.255008810817711e-07,0.0012247562408447266,19.04148769378662
logreg,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.792,0.007,0.916,0.507,0.972,0.947,,0.0,latent,10,7,2479.7548019886017,0,9.255008810817711e-07,0.0012247562408447266,19.04148769378662
knn,k-means,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,0.662,0.001,0.869,0.51,0.976,0.955,,0.0,latent,10,7,2479.7548019886017,0,9.255008810817711e-07,0.0012247562408447266,19.04148769378662
xgb,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,1.071,0.023,0.771,0.454,0.897,0.815,,0.0,latent,10,7,2479.7548019886017,0,9.255008810817711e-07,0.0012247562408447266,19.04148769378662
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,10.246,0.274,0.866,0.465,0.914,0.844,,5e-06,latent,10,7,2479.7548019886017,0,9.255008810817711e-07,0.0012247562408447266,19.04148769378662
